,id,neighbourhood_group_cleansed,price,neighbourhood_cleansed,accommodates,availability_365,minimum_nights,revenue
2074,2476666,Sarrià-Sant Gervasi,199.0,Sant Gervasi - Galvany,2,321,2,729.67
2075,2477054,Gràcia,137.0,el Camp d'en Grassot i Gràcia Nova,6,302,3,719.25
2078,2490660,Horta-Guinardó,80.0,el Baix Guinardó,3,302,3,420.0
2079,2491989,Eixample,65.0,Sant Antoni,2,236,2,698.75
2080,2492876,Eixample,131.0,la Sagrada Família,6,256,3,1189.92
2082,2494484,Sant Martí,65.0,el Poblenou,4,152,3,1153.75
2086,2497307,Eixample,126.0,la Sagrada Família,5,252,3,1186.5
2088,2505840,Sarrià-Sant Gervasi,121.0,Sant Gervasi - Galvany,4,340,3,252.08
2089,2506445,Les Corts,100.0,les Corts,5,24,2,2841.67
2090,2507802,Eixample,89.0,Sant Antoni,2,298,3,496.92
2092,2510966,Eixample,73.0,la Sagrada Família,6,233,1,803.0
2093,2512546,Eixample,135.0,la Dreta de l'Eixample,4,43,3,3622.5
2096,2517804,Sants-Montjuïc,84.0,el Poble Sec,4,27,2,2366.0
2099,2528991,Horta-Guinardó,85.0,el Guinardó,6,267,2,694.17
2100,2530059,Ciutat Vella,125.0,el Raval,3,239,31,1312.5
2101,2531374,Ciutat Vella,65.0,el Raval,4,70,2,1597.92
2102,2531875,Eixample,142.0,la Dreta de l'Eixample,5,283,2,970.33
2103,2534835,Eixample,70.0,l'Antiga Esquerra de l'Eixample,2,222,5,834.17
2105,2536121,Sant Martí,140.0,el Poblenou,6,262,3,1201.67
2106,2536314,Eixample,100.0,la Dreta de l'Eixample,5,332,3,275.0
2107,2536984,Eixample,75.0,la Sagrada Família,5,296,3,431.25
2109,2538078,Sants-Montjuïc,120.0,Sants,4,128,2,2370.0
2110,2538360,Sants-Montjuïc,79.0,Sants,4,289,4,500.33
2112,2543528,Sant Martí,110.0,el Clot,4,316,4,449.17
2113,2545534,Eixample,100.0,la Dreta de l'Eixample,2,314,3,425.0
2117,2557934,Sants-Montjuïc,78.0,el Poble Sec,4,120,5,1592.5
2119,2563231,Gràcia,85.0,la Vila de Gràcia,4,276,4,630.42
2126,2572313,Eixample,73.0,la Nova Esquerra de l'Eixample,4,268,1,590.08
2131,2576955,Sants-Montjuïc,75.0,el Poble Sec,5,267,3,612.5
2133,2577644,Sants-Montjuïc,92.0,Sants,4,50,3,2415.0
2135,2585698,Eixample,135.0,la Dreta de l'Eixample,4,311,2,607.5
2136,2588674,Sants-Montjuïc,80.0,el Poble Sec,4,14,4,2340.0
2141,2599849,Sants-Montjuïc,120.0,la Bordeta,4,169,3,1960.0
2142,2600907,Eixample,126.0,l'Antiga Esquerra de l'Eixample,3,318,2,493.5
2147,2612926,Sarrià-Sant Gervasi,80.0,el Putxet i el Farró,2,44,3,2140.0
2150,2624310,Eixample,260.0,Sant Antoni,6,272,3,2015.0
2151,2626169,Sarrià-Sant Gervasi,82.0,Sant Gervasi - Galvany,3,357,2,54.67
2152,2626530,Eixample,260.0,Sant Antoni,6,260,3,2275.0
2162,2634227,Sant Andreu,86.0,Sant Andreu,5,298,3,480.17
2165,2638769,Gràcia,131.0,la Vila de Gràcia,4,114,3,2740.08
2170,2643611,Sant Martí,145.0,el Poblenou,6,197,3,2030.0
2171,2643651,Sants-Montjuïc,75.0,el Poble Sec,4,260,3,656.25
2174,2650947,Gràcia,65.0,la Salut,4,351,1,75.83
2175,2655585,Gràcia,140.0,la Vila de Gràcia,4,81,3,3313.33
2179,2662683,Eixample,88.0,la Dreta de l'Eixample,2,194,3,1254.0
2180,2664990,Sant Martí,105.0,Diagonal Mar i el Front Marítim del Poblenou,6,318,3,411.25
2182,2669219,Sarrià-Sant Gervasi,90.0,Sant Gervasi - Galvany,4,279,3,645.0
2189,2682658,Les Corts,39.0,la Maternitat i Sant Ramon,3,245,2,390.0
2191,2685897,Ciutat Vella,240.0,el Raval,6,348,2,340.0
2192,2689106,Sant Martí,124.0,el Camp de l'Arpa del Clot,3,33,2,3430.67
2197,2698602,Ciutat Vella,296.0,"Sant Pere, Santa Caterina i la Ribera",4,111,2,6265.33
2201,2706462,Eixample,120.0,l'Antiga Esquerra de l'Eixample,6,97,3,2680.0
2204,2722884,Sarrià-Sant Gervasi,110.0,les Tres Torres,4,279,1,788.33
2205,2725917,Eixample,143.0,l'Antiga Esquerra de l'Eixample,6,331,3,405.17
2206,2727935,Sants-Montjuïc,140.0,el Poble Sec,5,342,3,268.33
2208,2729680,Eixample,140.0,l'Antiga Esquerra de l'Eixample,6,317,3,560.0
2211,2733883,Eixample,100.0,la Nova Esquerra de l'Eixample,6,88,3,2308.33
2212,2735591,Gràcia,127.0,el Camp d'en Grassot i Gràcia Nova,4,120,3,2592.92
2219,2742376,Eixample,287.0,la Dreta de l'Eixample,4,135,2,5500.83
2221,2743539,Sant Martí,90.0,el Poblenou,4,282,1,622.5
2222,2745301,Eixample,155.0,la Nova Esquerra de l'Eixample,6,76,2,3732.92
2223,2745481,Sants-Montjuïc,100.0,el Poble Sec,6,324,3,341.67
2226,2755738,Eixample,90.0,Sant Antoni,4,207,2,1185.0
2227,2758050,Gràcia,110.0,la Vila de Gràcia,6,150,2,1970.83
2228,2758316,Eixample,100.0,l'Antiga Esquerra de l'Eixample,4,51,2,2616.67
2229,2758891,Eixample,95.0,la Dreta de l'Eixample,2,93,3,2153.33
2230,2760787,Sant Martí,74.0,el Parc i la Llacuna del Poblenou,4,20,2,2127.5
2231,2761639,Sant Martí,62.0,el Parc i la Llacuna del Poblenou,4,36,2,1699.83
2233,2762205,Gràcia,140.0,el Camp d'en Grassot i Gràcia Nova,4,133,5,2706.67
2239,2775642,Eixample,140.0,la Dreta de l'Eixample,6,52,3,3651.67
2240,2776901,Ciutat Vella,195.0,el Raval,6,352,2,211.25
2242,2779738,Eixample,112.0,la Dreta de l'Eixample,6,335,2,280.0
2245,2781640,Gràcia,115.0,la Vila de Gràcia,3,246,3,1140.42
2246,2782292,Sant Martí,69.0,el Poblenou,4,88,3,1592.75
2248,2782746,Eixample,200.0,la Dreta de l'Eixample,5,334,2,516.67
2249,2784466,Sants-Montjuïc,68.0,el Poble Sec,5,98,1,1513.0
2250,2786688,Eixample,90.0,Sant Antoni,4,257,3,810.0
2251,2787514,Sants-Montjuïc,75.0,el Poble Sec,4,306,2,368.75
2252,2788377,Sant Martí,90.0,el Poblenou,4,289,2,570.0
2253,2788720,Eixample,55.0,la Sagrada Família,5,241,1,568.33
2254,2789539,Sants-Montjuïc,75.0,el Poble Sec,4,83,2,1762.5
2255,2791159,Eixample,90.0,l'Antiga Esquerra de l'Eixample,5,120,3,1837.5
2257,2796020,Sants-Montjuïc,70.0,el Poble Sec,5,90,2,1604.17
2262,2804502,Sants-Montjuïc,110.0,Sants,4,306,3,540.83
2269,2809378,Ciutat Vella,38.0,la Barceloneta,3,264,31,319.83
2270,2814997,Gràcia,80.0,la Vila de Gràcia,4,298,2,446.67
2272,2820055,Sants-Montjuïc,70.0,Sants,6,169,2,1143.33
2273,2822232,Les Corts,110.0,les Corts,5,345,1,183.33
2276,2828143,Ciutat Vella,90.0,la Barceloneta,3,196,3,1267.5
2278,2830712,Eixample,112.0,la Dreta de l'Eixample,6,296,2,644.0
2281,2843976,Eixample,125.0,la Dreta de l'Eixample,6,309,2,583.33
2282,2851272,Eixample,159.0,el Fort Pienc,4,123,4,3206.5
2283,2853973,Gràcia,115.0,la Vila de Gràcia,2,318,3,450.42
2284,2860194,Eixample,130.0,la Dreta de l'Eixample,5,301,2,693.33
2291,2877579,Horta-Guinardó,149.0,el Guinardó,4,0,3,4532.08
2294,2885126,Eixample,60.0,Sant Antoni,5,307,2,290.0
2296,2896610,Eixample,155.0,la Dreta de l'Eixample,5,271,1,1214.17
2297,2900507,Gràcia,111.0,la Vila de Gràcia,4,59,3,2830.5
2299,2908045,Eixample,85.0,la Sagrada Família,6,108,3,1820.42
2300,2910491,Sants-Montjuïc,69.0,el Poble Sec,6,301,1,368.0
2302,2926905,Eixample,170.0,l'Antiga Esquerra de l'Eixample,6,276,3,1260.83
2303,2929134,Sants-Montjuïc,75.0,el Poble Sec,5,71,2,1837.5
2305,2930798,Ciutat Vella,27.0,la Barceloneta,2,282,31,186.75
2310,2937524,Sants-Montjuïc,60.0,el Poble Sec,4,332,2,165.0
2314,2943188,Eixample,75.0,la Sagrada Família,4,325,2,250.0
2317,2951974,Gràcia,86.0,el Camp d'en Grassot i Gràcia Nova,4,339,3,186.33
2323,2963031,Eixample,100.0,la Dreta de l'Eixample,6,193,6,1433.33
2324,2967668,Eixample,105.0,la Sagrada Família,4,309,3,490.0
2325,2974139,Sants-Montjuïc,95.0,el Poble Sec,2,228,3,1084.58
2326,2975838,Eixample,90.0,l'Antiga Esquerra de l'Eixample,6,97,3,2010.0
2327,2976117,Eixample,149.0,el Fort Pienc,4,322,1,533.92
2330,2980991,Eixample,70.0,la Nova Esquerra de l'Eixample,3,300,3,379.17
2331,2981721,Eixample,80.0,l'Antiga Esquerra de l'Eixample,4,60,3,2033.33
2336,2987539,Eixample,179.0,l'Antiga Esquerra de l'Eixample,6,272,3,1387.25
2339,2991893,Eixample,75.0,Sant Antoni,5,78,2,1793.75
2340,2992138,Sants-Montjuïc,130.0,el Poble Sec,6,302,3,682.5
2341,2992564,Ciutat Vella,158.0,"Sant Pere, Santa Caterina i la Ribera",6,202,3,2146.17
2343,3000013,Gràcia,100.0,la Vila de Gràcia,2,187,3,1483.33
2344,3000464,Eixample,112.0,l'Antiga Esquerra de l'Eixample,2,153,1,1978.67
2345,3000888,Sant Martí,85.0,el Poblenou,4,122,3,1721.25
2349,3007161,Sants-Montjuïc,130.0,el Poble Sec,6,131,4,2535.0
2350,3007327,Horta-Guinardó,180.0,el Guinardó,6,326,4,585.0
2352,3008815,Sant Martí,115.0,el Poblenou,5,320,2,431.25
2356,3014692,Eixample,129.0,la Nova Esquerra de l'Eixample,4,335,3,322.5
2359,3019185,Gràcia,66.0,el Camp d'en Grassot i Gràcia Nova,2,15,2,1925.0
2360,3019711,Sants-Montjuïc,44.0,Sants,1,45,32,1173.33
2361,3021117,Sants-Montjuïc,130.0,el Poble Sec,6,294,4,769.17
2362,3027670,Eixample,80.0,l'Antiga Esquerra de l'Eixample,6,8,2,2380.0
2363,3028211,Gràcia,79.0,la Vila de Gràcia,3,40,3,2139.58
2367,3036626,Ciutat Vella,180.0,"Sant Pere, Santa Caterina i la Ribera",4,295,3,1050.0
2369,3040073,Horta-Guinardó,100.0,el Guinardó,5,221,2,1200.0
2372,3045137,Ciutat Vella,149.0,el Barri Gòtic,6,298,3,831.92
2373,3046326,Eixample,165.0,Sant Antoni,5,93,3,3740.0
2374,3046491,Eixample,140.0,Sant Antoni,5,315,2,583.33
2381,3067560,Sant Martí,75.0,el Camp de l'Arpa del Clot,5,269,4,600.0
2387,3082152,Sarrià-Sant Gervasi,50.0,Sant Gervasi - Galvany,2,229,1,566.67
2388,3082703,Sants-Montjuïc,90.0,el Poble Sec,4,287,5,585.0
2390,3085988,Eixample,125.0,la Nova Esquerra de l'Eixample,4,296,6,718.75
2392,3089510,Gràcia,115.0,la Vila de Gràcia,2,215,3,1437.5
2395,3096803,Gràcia,95.0,la Vila de Gràcia,2,228,3,1084.58
2397,3097242,Eixample,300.0,l'Antiga Esquerra de l'Eixample,4,312,3,1325.0
2398,3097333,Eixample,152.0,l'Antiga Esquerra de l'Eixample,6,82,3,3584.67
2400,3097541,Eixample,300.0,l'Antiga Esquerra de l'Eixample,4,312,3,1325.0
2404,3099145,Eixample,115.0,la Dreta de l'Eixample,5,65,3,2875.0
2405,3100451,Ciutat Vella,156.0,"Sant Pere, Santa Caterina i la Ribera",3,272,3,1209.0
2415,3110723,Eixample,218.0,la Dreta de l'Eixample,6,101,2,4796.0
2416,3117404,Sants-Montjuïc,120.0,Sants,6,158,4,2070.0
2417,3117453,Eixample,145.0,la Dreta de l'Eixample,6,324,3,495.42
2419,3118639,Sants-Montjuïc,110.0,la Font de la Guatlla,6,347,2,165.0
2420,3118841,Sants-Montjuïc,40.0,el Poble Sec,5,93,2,906.67
2422,3127256,Eixample,95.0,la Dreta de l'Eixample,2,315,3,395.83
2423,3127809,Sants-Montjuïc,95.0,Sants - Badal,6,255,3,870.83
2426,3131114,Eixample,175.0,la Sagrada Família,5,348,4,247.92
2428,3131680,Gràcia,89.0,la Vila de Gràcia,4,347,2,133.5
2429,3134505,Sants-Montjuïc,85.0,Sants - Badal,6,269,3,680.0
2431,3139108,Gràcia,165.0,la Vila de Gràcia,6,146,3,3011.25
2434,3144104,Eixample,120.0,Sant Antoni,6,298,1,670.0
2438,3158706,Sant Martí,68.0,el Poblenou,4,299,2,374.0
2440,3161722,Eixample,180.0,la Sagrada Família,6,294,2,1065.0
2442,3163248,Eixample,150.0,la Dreta de l'Eixample,5,189,3,2200.0
2445,3167271,Eixample,90.0,la Sagrada Família,5,270,2,712.5
2448,3172290,Eixample,500.0,la Dreta de l'Eixample,5,332,3,1375.0
2449,3172525,Eixample,500.0,la Dreta de l'Eixample,5,333,3,1333.33
2451,3172803,Ciutat Vella,123.0,el Barri Gòtic,4,255,3,1127.5
2452,3173002,Eixample,500.0,la Dreta de l'Eixample,4,327,3,1583.33
2453,3173095,Eixample,500.0,la Dreta de l'Eixample,4,317,3,2000.0
2454,3174089,Gràcia,150.0,el Camp d'en Grassot i Gràcia Nova,5,356,2,112.5
2456,3180085,Eixample,500.0,la Dreta de l'Eixample,4,333,3,1333.33
2457,3180157,Eixample,1000.0,la Dreta de l'Eixample,6,296,3,5750.0
2460,3184753,Eixample,90.0,l'Antiga Esquerra de l'Eixample,6,3,5,2715.0
2465,3187818,Eixample,160.0,la Sagrada Família,6,316,3,653.33
2469,3189694,Sants-Montjuïc,80.0,el Poble Sec,3,298,3,446.67
2470,3190905,Sant Martí,100.0,el Clot,4,296,2,575.0
2472,3195806,Eixample,99.0,Sant Antoni,4,354,2,90.75
2473,3196017,Eixample,110.0,Sant Antoni,6,320,2,412.5
2480,3212167,Sants-Montjuïc,90.0,el Poble Sec,6,278,1,652.5
2484,3215566,Eixample,174.0,l'Antiga Esquerra de l'Eixample,5,214,1,2189.5
2485,3216746,Eixample,174.0,l'Antiga Esquerra de l'Eixample,5,229,1,1972.0
2486,3218014,Les Corts,59.0,la Maternitat i Sant Ramon,6,318,2,231.08
2487,3218456,Eixample,90.0,la Nova Esquerra de l'Eixample,6,227,3,1035.0
2488,3219190,Eixample,60.0,l'Antiga Esquerra de l'Eixample,6,344,3,105.0
2489,3221449,Gràcia,129.0,la Vila de Gràcia,4,58,3,3300.25
2491,3226298,Eixample,80.0,l'Antiga Esquerra de l'Eixample,5,121,3,1626.67
2500,3235517,Sarrià-Sant Gervasi,200.0,Sant Gervasi - Galvany,6,339,4,433.33
2503,3237582,Sants-Montjuïc,140.0,el Poble Sec,5,157,5,2426.67
2509,3243398,Sants-Montjuïc,35.0,el Poble Sec,2,75,5,845.83
2511,3244036,Eixample,74.0,la Nova Esquerra de l'Eixample,4,316,3,302.17
2512,3245032,Eixample,201.0,l'Antiga Esquerra de l'Eixample,4,25,4,5695.0
2515,3250179,Eixample,70.0,Sant Antoni,5,332,32,192.5
2518,3254447,Eixample,80.0,la Sagrada Família,6,92,3,1820.0
2521,3255204,Gràcia,46.0,la Vila de Gràcia,2,97,32,1027.33
2522,3255276,Eixample,119.0,Sant Antoni,6,120,2,2429.58
2523,3256638,Eixample,107.0,Sant Antoni,5,286,2,704.42
2525,3257364,Eixample,50.0,la Sagrada Família,5,326,3,162.5
2530,3270895,Eixample,127.0,la Sagrada Família,6,136,2,2423.58
2532,3274871,Sant Martí,218.0,la Vila Olímpica del Poblenou,6,183,3,3306.33
2534,3276856,Ciutat Vella,80.0,el Raval,3,225,31,933.33
2538,3281769,Eixample,250.0,la Dreta de l'Eixample,5,319,1,958.33
2542,3286722,Eixample,70.0,la Dreta de l'Eixample,6,322,2,250.83
2543,3290143,Gràcia,80.0,la Vila de Gràcia,4,119,3,1640.0
2545,3292049,Gràcia,115.0,la Vila de Gràcia,4,120,2,2347.92
2547,3296173,Eixample,99.0,la Dreta de l'Eixample,4,263,4,841.5
2548,3297035,Eixample,80.0,l'Antiga Esquerra de l'Eixample,5,99,3,1773.33
2549,3297639,Sarrià-Sant Gervasi,63.0,Sant Gervasi - Galvany,4,82,3,1485.75
2554,3308296,Gràcia,71.0,la Vila de Gràcia,4,133,3,1372.67
2558,3314434,Ciutat Vella,245.0,el Barri Gòtic,6,305,3,1225.0
2560,3318625,Sant Andreu,78.0,Sant Andreu,4,312,3,344.5
2564,3328222,Eixample,100.0,la Sagrada Família,4,314,3,425.0
2568,3331739,Eixample,180.0,l'Antiga Esquerra de l'Eixample,4,72,3,4395.0
2574,3345875,Sants-Montjuïc,59.0,el Poble Sec,6,263,3,501.5
2579,3349316,Eixample,100.0,la Dreta de l'Eixample,6,104,3,2175.0
2580,3349421,Eixample,72.0,la Dreta de l'Eixample,6,102,3,1578.0
2581,3349949,Sants-Montjuïc,69.0,Hostafrancs,5,86,3,1604.25
2582,3350180,Sants-Montjuïc,60.0,el Poble Sec,4,262,2,515.0
2583,3350190,Eixample,150.0,l'Antiga Esquerra de l'Eixample,4,265,3,1250.0
2585,3356447,Sant Martí,61.0,el Poblenou,5,107,3,1311.5
2588,3358168,Sant Martí,67.0,Sant Martí de Provençals,5,276,1,496.92
2591,3359724,Eixample,85.0,la Sagrada Família,5,110,3,1806.25
2592,3359806,Sants-Montjuïc,69.0,el Poble Sec,6,118,3,1420.25
2595,3365207,Eixample,69.0,la Nova Esquerra de l'Eixample,6,119,3,1414.5
2598,3366031,Eixample,50.0,la Dreta de l'Eixample,5,65,2,1250.0
2599,3366295,Eixample,95.0,la Sagrada Família,6,114,3,1987.08
2600,3367356,Sant Martí,200.0,el Parc i la Llacuna del Poblenou,6,315,4,833.33
2603,3370188,Eixample,260.0,Sant Antoni,6,241,3,2686.67
2604,3374070,Les Corts,39.0,la Maternitat i Sant Ramon,3,264,2,328.25
2606,3374176,Eixample,200.0,Sant Antoni,4,277,3,1466.67
2609,3376885,Sarrià-Sant Gervasi,120.0,Sant Gervasi - Galvany,5,316,3,490.0
2613,3385725,Eixample,85.0,la Sagrada Família,6,255,3,779.17
2615,3387950,Eixample,195.0,la Dreta de l'Eixample,3,158,3,3363.75
2616,3388218,Eixample,80.0,la Nova Esquerra de l'Eixample,5,295,4,466.67
2617,3389920,Sants-Montjuïc,74.0,el Poble Sec,2,169,3,1208.67
2622,3393088,Eixample,70.0,la Dreta de l'Eixample,5,83,3,1645.0
2623,3393502,Eixample,70.0,la Dreta de l'Eixample,5,239,3,735.0
2624,3393839,Eixample,70.0,la Dreta de l'Eixample,5,330,3,204.17
2627,3409314,Eixample,59.0,Sant Antoni,4,253,3,550.67
2628,3410851,Sants-Montjuïc,85.0,Sants - Badal,6,335,3,212.5
2632,3419405,Eixample,169.0,la Sagrada Família,6,340,3,352.08
2639,3431564,Sant Martí,95.0,el Camp de l'Arpa del Clot,5,321,2,348.33
2640,3431763,Ciutat Vella,65.0,"Sant Pere, Santa Caterina i la Ribera",5,196,32,915.42
2646,3441799,Gràcia,95.0,la Vila de Gràcia,4,311,3,427.5
2652,3450649,Sant Martí,90.0,el Camp de l'Arpa del Clot,6,262,2,772.5
2658,3455823,Eixample,100.0,la Sagrada Família,5,198,3,1391.67
2666,3475121,Sants-Montjuïc,170.0,Hostafrancs,4,140,3,3187.5
2670,3480503,Eixample,100.0,Sant Antoni,6,225,1,1166.67
2671,3480649,Eixample,150.0,l'Antiga Esquerra de l'Eixample,6,331,3,425.0
2675,3485286,Sarrià-Sant Gervasi,109.0,el Putxet i el Farró,5,62,3,2752.25
2678,3486957,Eixample,55.0,la Sagrada Família,5,351,3,64.17
2680,3488858,Eixample,120.0,la Dreta de l'Eixample,4,282,2,830.0
2681,3491072,Eixample,69.0,la Nova Esquerra de l'Eixample,6,264,3,580.75
2682,3491453,Eixample,100.0,la Sagrada Família,6,308,3,475.0
2686,3493834,Eixample,150.0,el Fort Pienc,3,243,32,1525.0
2690,3496888,Eixample,150.0,el Fort Pienc,6,68,2,3712.5
2691,3497320,Sant Andreu,100.0,Navas,6,93,2,2266.67
2695,3501634,Gràcia,95.0,la Vila de Gràcia,4,304,3,482.92
2696,3502018,Eixample,121.0,la Dreta de l'Eixample,3,339,3,262.17
2697,3503002,Eixample,109.0,l'Antiga Esquerra de l'Eixample,6,97,3,2434.33
2703,3510269,Sant Andreu,80.0,el Congrés i els Indians,5,230,2,900.0
2704,3512999,Sants-Montjuïc,138.0,el Poble Sec,4,135,3,2645.0
2705,3515542,Sants-Montjuïc,82.0,el Poble Sec,6,125,2,1640.0
2708,3525106,Eixample,149.0,Sant Antoni,5,173,4,2384.0
2714,3535864,Eixample,110.0,la Dreta de l'Eixample,5,332,3,302.5
2715,3536281,Sants-Montjuïc,125.0,Sants,4,113,2,2625.0
2716,3536663,Sant Martí,95.0,el Camp de l'Arpa del Clot,6,326,3,308.75
2719,3539517,Gràcia,112.0,el Camp d'en Grassot i Gràcia Nova,4,82,1,2641.33
2720,3539908,Gràcia,90.0,la Vila de Gràcia,4,251,2,855.0
2721,3540767,Eixample,101.0,la Sagrada Família,5,61,1,2558.67
2722,3543365,Eixample,180.0,la Sagrada Família,6,315,1,750.0
2723,3543704,Eixample,180.0,la Sagrada Família,6,308,1,855.0
2731,3559666,Sants-Montjuïc,105.0,el Poble Sec,6,160,3,1793.75
2733,3561658,Eixample,75.0,la Sagrada Família,4,107,2,1612.5
2734,3567044,Sant Martí,195.0,la Vila Olímpica del Poblenou,5,343,4,357.5
2736,3567993,Eixample,120.0,la Dreta de l'Eixample,5,292,2,730.0
2741,3582210,Sarrià-Sant Gervasi,50.0,Sant Gervasi - Galvany,5,231,30,558.33
2742,3583512,Sant Martí,60.0,el Besòs i el Maresme,4,338,2,135.0
2744,3586637,Gràcia,118.0,la Vila de Gràcia,4,301,3,629.33
2745,3588409,Sants-Montjuïc,168.0,el Poble Sec,4,339,4,364.0
2751,3603663,Gràcia,64.0,el Coll,4,291,2,394.67
2752,3604142,Gràcia,169.0,el Camp d'en Grassot i Gràcia Nova,6,134,3,3253.25
2754,3611683,Sarrià-Sant Gervasi,175.0,Sant Gervasi - Galvany,4,345,4,291.67
2756,3618109,Sant Andreu,100.0,Sant Andreu,4,4,2,3008.33
2758,3622727,Horta-Guinardó,110.0,el Guinardó,4,303,3,568.33
2762,3636416,Sants-Montjuïc,90.0,el Poble Sec,4,326,2,292.5
2766,3645268,Eixample,240.0,la Dreta de l'Eixample,6,303,2,1240.0
2767,3645274,Sant Martí,80.0,el Parc i la Llacuna del Poblenou,4,103,1,1746.67
2770,3652362,Gràcia,167.0,el Camp d'en Grassot i Gràcia Nova,6,180,3,2574.58
2771,3652628,Gràcia,187.0,el Camp d'en Grassot i Gràcia Nova,6,174,3,2976.42
2778,3671014,Eixample,199.0,Sant Antoni,6,161,1,3383.0
2784,3680769,Eixample,100.0,el Fort Pienc,4,296,2,575.0
2786,3684919,Gràcia,65.0,la Salut,2,261,3,563.33
2793,3702627,Sant Martí,62.0,el Camp de l'Arpa del Clot,6,85,3,1446.67
2798,3709784,Horta-Guinardó,60.0,el Carmel,2,316,2,245.0
2802,3716592,Eixample,128.0,la Dreta de l'Eixample,4,322,4,458.67
2806,3732820,Eixample,99.0,la Dreta de l'Eixample,6,118,3,2037.75
2813,3744235,Eixample,170.0,Sant Antoni,4,279,3,1218.33
2814,3744593,Eixample,118.0,l'Antiga Esquerra de l'Eixample,5,158,1,2035.5
2815,3746653,Eixample,90.0,la Sagrada Família,4,296,4,517.5
2816,3753467,Gràcia,90.0,el Camp d'en Grassot i Gràcia Nova,5,319,3,345.0
2820,3757269,Eixample,190.0,la Dreta de l'Eixample,6,351,3,221.67
2823,3763062,Eixample,180.0,Sant Antoni,6,308,1,855.0
2825,3763410,Eixample,130.0,la Dreta de l'Eixample,5,213,1,1646.67
2828,3764992,Sant Martí,90.0,el Parc i la Llacuna del Poblenou,4,95,3,2025.0
2834,3770072,Eixample,173.0,Sant Antoni,4,285,3,1153.33
2840,3773985,Sarrià-Sant Gervasi,115.0,les Tres Torres,4,165,1,1916.67
2845,3776686,Eixample,105.0,la Dreta de l'Eixample,4,153,2,1855.0
2846,3778832,Sants-Montjuïc,120.0,el Poble Sec,4,125,1,2400.0
2854,3796102,Gràcia,179.0,la Vila de Gràcia,6,79,1,4266.17
2856,3797102,Eixample,131.0,la Sagrada Família,6,233,3,1441.0
2857,3797696,Gràcia,215.0,la Vila de Gràcia,6,77,1,5160.0
2858,3797831,Gràcia,215.0,la Vila de Gràcia,6,91,1,4909.17
2861,3804922,Ciutat Vella,149.0,el Raval,6,113,2,3129.0
2864,3806284,Eixample,79.0,la Dreta de l'Eixample,4,126,2,1573.42
2866,3813714,Les Corts,60.0,les Corts,6,256,31,545.0
2868,3814722,Eixample,129.0,la Dreta de l'Eixample,4,326,3,419.25
2869,3814908,Eixample,125.0,la Dreta de l'Eixample,4,314,3,531.25
2872,3815906,Eixample,110.0,la Dreta de l'Eixample,4,308,3,522.5
2875,3817705,Eixample,70.0,la Sagrada Família,6,280,2,495.83
2884,3831664,Ciutat Vella,95.0,"Sant Pere, Santa Caterina i la Ribera",5,365,32,0.0
2894,3851453,Horta-Guinardó,75.0,Can Baró,5,71,1,1837.5
2897,3855119,Horta-Guinardó,80.0,Can Baró,2,127,2,1586.67
2898,3855575,Eixample,150.0,la Dreta de l'Eixample,4,302,1,787.5
2902,3864869,Ciutat Vella,95.0,el Barri Gòtic,4,76,4,2287.92
2903,3865176,Sant Martí,37.0,el Besòs i el Maresme,5,8,2,1100.75
2906,3871145,Eixample,250.0,la Dreta de l'Eixample,4,298,1,1395.83
2910,3879404,Eixample,130.0,Sant Antoni,5,339,2,281.67
2911,3879654,Sant Martí,70.0,el Poblenou,4,245,2,700.0
2919,3904542,Ciutat Vella,88.0,el Barri Gòtic,2,19,1,2537.33
2929,3921708,Eixample,156.0,la Dreta de l'Eixample,6,95,2,3510.0
2931,3926031,Les Corts,100.0,les Corts,5,25,2,2833.33
2932,3926590,Sant Martí,80.0,el Poblenou,3,322,3,286.67
2933,3936390,Gràcia,80.0,Vallcarca i els Penitents,3,293,32,480.0
2935,3942375,Gràcia,155.0,Vallcarca i els Penitents,6,279,3,1110.83
2939,3948967,Eixample,114.0,la Dreta de l'Eixample,5,297,2,646.0
2942,3955338,Sant Martí,70.0,Sant Martí de Provençals,6,289,2,443.33
2951,3971574,Eixample,81.0,la Nova Esquerra de l'Eixample,3,305,3,405.0
2959,3996089,Eixample,130.0,el Fort Pienc,5,304,2,660.83
2961,4004925,Sant Martí,99.0,el Poblenou,5,230,3,1113.75
2964,4010706,Sant Martí,199.0,el Clot,6,358,3,116.08
2971,4021304,Eixample,180.0,el Fort Pienc,6,214,2,2265.0
2974,4022947,Sant Martí,58.0,el Parc i la Llacuna del Poblenou,4,302,1,304.5
2975,4026267,Eixample,200.0,el Fort Pienc,6,353,3,200.0
2976,4026343,Eixample,190.0,el Fort Pienc,6,344,3,332.5
2978,4028518,Eixample,95.0,la Sagrada Família,4,188,2,1401.25
2979,4029838,Eixample,90.0,Sant Antoni,5,248,2,877.5
2980,4030869,Eixample,137.0,la Sagrada Família,4,98,3,3048.25
2986,4047378,Eixample,90.0,Sant Antoni,4,293,3,540.0
2990,4054602,Horta-Guinardó,10.0,Can Baró,3,365,31,0.0
2995,4068098,Eixample,180.0,la Dreta de l'Eixample,4,351,3,210.0
2997,4079030,Eixample,120.0,la Dreta de l'Eixample,6,263,3,1020.0
